Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 28316_Rep1	Peptides 28316_Rep2	Peptides 28316_Rep3	Peptides 28317_Rep1	Peptides 28317_Rep2	Peptides 28317_Rep3	Peptides No_tag_Rep1	Razor + unique peptides 28316_Rep1	Razor + unique peptides 28316_Rep2	Razor + unique peptides 28316_Rep3	Razor + unique peptides 28317_Rep1	Razor + unique peptides 28317_Rep2	Razor + unique peptides 28317_Rep3	Razor + unique peptides No_tag_Rep1	Unique peptides 28316_Rep1	Unique peptides 28316_Rep2	Unique peptides 28316_Rep3	Unique peptides 28317_Rep1	Unique peptides 28317_Rep2	Unique peptides 28317_Rep3	Unique peptides No_tag_Rep1	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 28316_Rep1	Identification type 28316_Rep2	Identification type 28316_Rep3	Identification type 28317_Rep1	Identification type 28317_Rep2	Identification type 28317_Rep3	Identification type No_tag_Rep1	Sequence coverage 28316_Rep1 [%]	Sequence coverage 28316_Rep2 [%]	Sequence coverage 28316_Rep3 [%]	Sequence coverage 28317_Rep1 [%]	Sequence coverage 28317_Rep2 [%]	Sequence coverage 28317_Rep3 [%]	Sequence coverage No_tag_Rep1 [%]	Intensity	Intensity 28316_Rep1	Intensity 28316_Rep2	Intensity 28316_Rep3	Intensity 28317_Rep1	Intensity 28317_Rep2	Intensity 28317_Rep3	Intensity No_tag_Rep1	iBAQ	iBAQ 28316_Rep1	iBAQ 28316_Rep2	iBAQ 28316_Rep3	iBAQ 28317_Rep1	iBAQ 28317_Rep2	iBAQ 28317_Rep3	iBAQ No_tag_Rep1	LFQ intensity 28316_Rep1	LFQ intensity 28316_Rep2	LFQ intensity 28316_Rep3	LFQ intensity 28317_Rep1	LFQ intensity 28317_Rep2	LFQ intensity 28317_Rep3	LFQ intensity No_tag_Rep1	MS/MS count 28316_Rep1	MS/MS count 28316_Rep2	MS/MS count 28316_Rep3	MS/MS count 28317_Rep1	MS/MS count 28317_Rep2	MS/MS count 28317_Rep3	MS/MS count No_tag_Rep1	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P02533;CON__Q6IFX2;CON__Q61782	CON__P02533	34;13;5	31;13;5	12;3;2		3	34	31	12	20	33	29	22	27	30	18	18	30	26	20	24	27	17	8	12	12	7	10	11	5	69.1	65.3	35.8	51.621	472	472;452;93	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	47.7	67.8	66.1	52.1	63.8	67.6	43.9	1073200000	21789000	371080000	316830000	15516000	155920000	166880000	25144000	37006000	751360	12796000	10925000	535050	5376700	5754300	867030	3069500	114280000	74648000	55925000	38285000	79595000	39987000	13	49	38	20	27	38	14	199			+	10	149;150;604;879;1006;1007;1345;1410;2247;3260;4902;4916;6234;6592;7157;7453;7456;7664;8162;9476;9477;9850;10792;11109;11348;11429;11701;13219;13513;13642;13807;14669;15189;15583	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True	152;153;154;155;643;945;1074;1075;1428;1429;1495;2387;3457;5183;5184;5199;6593;6970;7568;7883;7886;8107;8630;10100;10101;10102;10505;10506;11502;11838;12088;12170;12463;14065;14376;14516;14691;15614;16151;16152;16572;16573;16574	584;585;586;587;588;589;590;591;592;593;594;2492;2493;2494;2495;2496;2497;2498;2499;2500;2501;3561;3562;3563;3564;3565;3566;3567;3568;4094;4095;4096;4097;4098;4099;4100;4101;4102;4103;4104;4105;4106;4107;5423;5424;5425;5426;5427;5428;5429;5430;5626;5627;5628;5629;5630;5631;5632;8619;8620;8621;8622;8623;8624;12509;12510;12511;12512;12513;12514;12515;18409;18410;18411;18412;18413;18414;18415;18416;18417;18418;18419;18420;18421;18422;18423;18424;18425;18426;18427;18474;18475;18476;18477;18478;18479;18480;23456;23457;23458;23459;23460;23461;23462;23463;23464;23465;23466;23467;23468;24678;24679;24680;24681;24682;24683;24684;26604;27631;27632;27633;27634;27635;27636;27637;27638;27647;27648;27649;27650;28499;28500;28501;28502;28503;28504;28505;30286;30287;30288;30289;30290;30291;30292;30293;30294;30295;30296;30297;30298;35248;35249;35250;35251;35252;35253;35254;35255;35256;36518;36519;36520;36521;36522;36523;36524;36525;36526;36527;36528;36529;36530;36531;36532;36533;40263;40264;40265;40266;41338;41339;41340;41341;42076;42077;42078;42267;43374;43375;43376;48967;50197;50198;50199;50200;50201;50202;50203;50635;50636;50637;50638;50639;50640;50641;50642;51175;51176;51177;51178;51179;51180;51181;54912;54913;54914;54915;54916;54917;54918;56814;56815;56816;56817;56818;56819;56820;56821;56822;56823;56824;56825;56826;56827;56828;56829;56830;56831;56832;56833;56834;56835;56836;56837;56838;56839;56840;58452;58453;58454;58455;58456;58457;58458;58459;58460;58461;58462;58463;58464;58465;58466;58467	489;490;491;492;493;494;495;496;2183;2184;2185;2186;2187;2188;2189;2190;2191;2192;3136;3137;3138;3139;3140;3141;3142;3143;3604;3605;3606;3607;3608;3609;3610;3611;3612;3613;3614;4818;4819;4820;4821;4822;4823;4824;4825;4826;4827;5011;5012;5013;5014;5015;5016;5017;5018;7667;7668;7669;7670;7671;7672;11101;11102;11103;11104;11105;11106;11107;16168;16169;16170;16171;16172;16173;16174;16175;16176;16177;16178;16179;16180;16181;16182;16183;16184;16185;16186;16187;16188;16225;16226;16227;16228;16229;16230;20640;20641;20642;20643;20644;20645;20646;20647;20648;20649;20650;20651;20652;20653;21722;21723;21724;21725;21726;21727;21728;23353;24219;24220;24221;24222;24223;24224;24225;24226;24236;24237;24994;24995;24996;24997;24998;24999;25000;25001;26592;26593;26594;26595;26596;26597;26598;26599;26600;26601;26602;26603;26604;26605;26606;30892;30893;30894;30895;30896;30897;30898;32039;32040;32041;32042;32043;32044;32045;32046;32047;32048;35429;35430;35431;35432;36372;36373;36988;37162;38162;38163;38164;43114;44173;44174;44175;44176;44177;44556;44557;44558;44559;44560;44561;44562;44563;45032;45033;45034;45035;45036;45037;48381;48382;48383;48384;48385;48386;48387;50006;50007;50008;50009;50010;50011;50012;50013;50014;50015;50016;50017;50018;50019;50020;50021;50022;50023;50024;50025;50026;50027;50028;50029;50030;50031;50032;51388;51389;51390;51391;51392;51393;51394;51395;51396;51397;51398;51399;51400;51401	489;494;2183;3137;3606;3614;4818;5018;7669;11101;16183;16227;20641;21728;23353;24219;24237;24994;26593;30894;30897;32042;35429;36372;36988;37162;38164;43114;44174;44559;45036;48385;50019;51399	1;8;9;10;11;12;13;14;15;16;17	14;119;212;237;257;272;338;351;368;376;391
CON__P02535-1	CON__P02535-1	9	1	1		1	9	1	1	8	7	8	7	7	8	7	0	1	1	0	1	1	0	0	1	1	0	1	1	0	16.5	4	4	57.769	570	570	0.0031283	1.5369	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	12.5	13.7	14.9	10.9	13.7	14.9	10.9	42086000	0	11332000	19884000	0	3254000	7615200	0	1618700	0	435860	764780	0	125150	292890	0	0	0	0	0	0	2498300	0	0	2	0	0	2	3	0	7			+	11	609;7655;11124;11151;11152;11702;14671;15189;15587	False;False;False;False;False;False;False;False;True	648;8098;11854;11883;11884;12464;15616;16151;16152;16579	2519;2520;2521;2522;2523;2524;2525;2526;2527;2528;2529;2530;2531;2532;2533;2534;2535;2536;2537;2538;2539;2540;2541;2542;28470;28471;28472;28473;28474;28475;28476;28477;28478;28479;28480;28481;28482;28483;41428;41429;41430;41431;41432;41433;41434;41435;41436;41437;41438;41439;41440;41441;41442;41443;41444;41445;41522;41523;41524;41525;41526;41527;41528;41529;41530;41531;41532;41533;41534;41535;41536;41537;41538;41539;41540;41541;41542;43377;43378;43379;43380;43381;54920;56814;56815;56816;56817;56818;56819;56820;56821;56822;56823;56824;56825;56826;56827;56828;56829;56830;56831;56832;56833;56834;56835;56836;56837;56838;56839;56840;58491;58492;58493;58494;58495;58496;58497;58498;58499;58500;58501;58502;58503	2208;2209;2210;2211;2212;2213;2214;2215;2216;2217;2218;2219;2220;2221;2222;2223;2224;2225;2226;2227;24971;24972;24973;24974;24975;24976;24977;24978;24979;24980;24981;36444;36445;36446;36447;36448;36449;36450;36451;36452;36453;36454;36455;36524;36525;36526;36527;36528;36529;36530;36531;36532;36533;36534;36535;36536;36537;36538;36539;38165;38166;38167;48389;50006;50007;50008;50009;50010;50011;50012;50013;50014;50015;50016;50017;50018;50019;50020;50021;50022;50023;50024;50025;50026;50027;50028;50029;50030;50031;50032;51427;51428;51429;51430;51431;51432;51433	2214;24974;36448;36527;36537;38166;48389;50019;51428	1	148
CON__P02538;CON__Q8VED5;CON__H-INV:HIT000292931	CON__P02538	38;9;4	2;0;0	2;0;0		3	38	2	2	24	33	37	22	33	34	25	1	1	2	1	1	1	1	1	1	2	1	1	1	1	57.1	3.5	3.5	60.044	564	564;531;443	0.0044933	1.2876	By matching	By matching	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	40.4	48.9	55.5	33.9	50.7	52.3	40.2	15771000	303460	3672400	6720400	366960	1923300	2094700	690300	525720	10115	122410	224010	12232	64109	69822	23010	0	0	1704300	0	0	0	0	0	0	1	0	1	0	1	3			+	12	171;188;485;742;959;1040;2127;3411;3483;3485;3819;4776;4931;6538;7113;7386;7387;7632;8164;8702;9964;9980;9981;10005;10007;10686;10722;10917;11020;11693;11849;13031;13032;15516;15636;15637;15644;16105	False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False	180;197;515;787;788;789;1027;1110;2256;2257;3616;3617;3695;3697;4041;5044;5045;5216;6914;7522;7810;7811;8073;8632;9207;10625;10641;10642;10668;10670;11391;11428;11636;11744;12455;12616;13869;13870;16500;16632;16633;16640;17119	726;727;728;729;730;731;732;819;820;821;822;823;2003;2004;2005;2006;2007;2008;2009;2992;2993;2994;2995;2996;2997;2998;2999;3000;3001;3002;3888;3889;3890;3891;3892;3893;3894;3895;3896;4201;4202;4203;4204;4205;4206;8123;8124;8125;8126;8127;8128;13024;13025;13026;13027;13028;13029;13030;13031;13032;13326;13327;13328;13329;13330;13331;13332;13333;13336;13337;13338;13339;14444;14445;14446;14447;14448;14449;14450;17985;17986;17987;17988;17989;17990;18556;18557;18558;18559;18560;18561;18562;24454;24455;24456;24457;24458;24459;24460;26486;26487;26488;26489;26490;26491;26492;26493;26494;26495;26496;27419;27420;27421;27422;27423;27424;27425;27426;27427;27428;27429;27430;27431;27432;27433;27434;27435;27436;27437;27438;28269;28270;28271;28272;30303;30304;30305;30306;32283;32284;36923;36924;36925;36926;36927;36928;36929;36930;36931;36998;36999;37000;37001;37002;37003;37004;37005;37006;37007;37008;37009;37010;37011;37089;37090;37091;37092;37093;37094;37095;37096;37097;37098;37099;37100;37101;37102;37103;37104;37105;37106;37107;37108;37109;37110;37111;37113;37114;37115;39912;39913;39914;39915;39916;39917;40029;40030;40031;40032;40033;40034;40739;40740;40741;40742;40743;40744;40745;41090;41091;41092;41093;41094;41095;41096;41097;41098;43339;43340;43341;43342;43343;43876;43877;43878;43879;43880;48289;48290;48291;48292;48293;48294;48295;48296;48297;48298;48299;48300;48301;48302;48303;48304;48305;48306;58190;58191;58192;58193;58194;58195;58660;58661;58662;58663;58664;58665;58666;58667;58668;58669;58670;58671;58672;58673;58674;58675;58712;58713;58714;58715;58716;58717;58718;58719;60280;60281	613;614;615;616;696;697;698;699;1745;1746;1747;1748;1749;1750;1751;2626;2627;2628;2629;2630;2631;2632;2633;2634;2635;2636;2637;2638;2639;2640;2641;2642;2643;3418;3419;3420;3421;3422;3423;3424;3697;3698;3699;3700;7240;7241;7242;7243;7244;7245;11561;11562;11563;11564;11565;11566;11567;11819;11820;11821;11822;11823;11824;11825;11827;11828;11829;12743;12744;12745;12746;12747;12748;15784;15785;15786;16298;16299;16300;16301;16302;16303;16304;21529;21530;21531;21532;21533;21534;21535;21536;23251;23252;23253;23254;23255;24028;24029;24030;24031;24032;24033;24034;24035;24036;24037;24038;24039;24040;24041;24042;24043;24044;24045;24046;24792;24793;24794;24795;26612;26613;26614;26615;28326;28327;32380;32381;32382;32383;32384;32385;32386;32387;32441;32442;32443;32444;32445;32446;32447;32522;32523;32524;32525;32526;32527;32528;32529;32530;32531;32532;32533;32534;32535;32536;32537;32540;32541;32542;35113;35114;35115;35116;35230;35231;35232;35844;35845;35846;35847;35848;35849;36165;36166;36167;36168;36169;36170;36171;36172;36173;38134;38610;42519;42520;42521;42522;42523;42524;42525;42526;42527;42528;42529;42530;42531;42532;42533;42534;42535;42536;42537;42538;42539;51179;51180;51584;51585;51586;51587;51588;51589;51590;51591;51592;51593;51594;51632;51633;51634;51635;51636;51637;51638;52989	614;696;1748;2628;3423;3698;7243;11566;11825;11827;12743;15784;16299;21535;23252;24032;24046;24792;26612;28327;32384;32441;32447;32523;32541;35116;35231;35849;36168;38134;38610;42525;42528;51180;51587;51590;51635;52989	4;18;19;20;21	242;279;309;322;452
CON__P02662	CON__P02662	6	6	6		1	6	6	6	1	6	5	0	4	5	0	1	6	5	0	4	5	0	1	6	5	0	4	5	0	35.7	35.7	35.7	22.975	199	199	0	8.7021	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS		6	35.7	32.2	0	23.1	28.1	0	74512000	0	46487000	17192000	0	4812800	6020200	0	8279100	0	5165200	1910200	0	534750	668910	0	0	12408000	4043600	0	2724500	4623700	0	1	10	3	0	4	3	0	21			+	13	2409;2537;3033;3629;5428;15875	True;True;True;True;True;True	2556;2689;3224;3845;5748;16880	9247;9248;9249;9830;9831;9832;9833;11669;11670;11671;11672;11673;11674;11675;11676;11677;13803;13804;13805;13806;13807;20599;20600;20601;20602;59519;59520;59521	8258;8774;8775;10384;10385;10386;10387;10388;10389;10390;12215;12216;12217;12218;12219;18107;18108;18109;52354;52355;52356	8258;8774;10390;12216;18109;52354	22	135
CON__P02663	CON__P02663	4	4	4		1	4	4	4	1	4	3	1	4	4	1	1	4	3	1	4	4	1	1	4	3	1	4	4	1	23.7	23.7	23.7	24.348	207	207	0	14.087	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.3	23.7	19.3	5.3	23.7	23.7	5.3	21888000	294140	12065000	4347100	264490	1478000	3209900	229910	1989900	26740	1096800	395190	24044	134360	291810	20901	0	4073500	996720	0	787900	1366300	0	0	2	2	1	4	2	1	12			+	14	684;2987;3942;14036	True;True;True;True	725;3176;4168;14933	2800;2801;2802;2803;2804;2805;2806;11544;11545;11546;14946;14947;14948;14949;52207;52208;52209;52210	2443;2444;2445;2446;2447;2448;10282;13209;13210;13211;13212;45977	2448;10282;13209;45977		
CON__P02666	CON__P02666	2	2	2		1	2	2	2	1	2	1	0	1	1	0	1	2	1	0	1	1	0	1	2	1	0	1	1	0	12.4	12.4	12.4	23.583	209	209	0	3.2984	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS		9.1	12.4	9.1	0	9.1	9.1	0	21455000	442690	15350000	2915300	0	0	2746600	0	3575800	73782	2558300	485880	0	0	457770	0	0	5147400	0	0	0	0	0	2	5	3	0	1	3	0	14			+	15	1894;14790	True;True	2008;15736	7316;7317;7318;7319;7320;7321;7322;7323;7324;55366	6512;6513;6514;6515;6516;6517;6518;6519;6520;6521;6522;6523;6524;48749	6523;48749	23	185
CON__P02668	CON__P02668	2	2	2		1	2	2	2	0	2	1	0	1	1	0	0	2	1	0	1	1	0	0	2	1	0	1	1	0	17.2	17.2	17.2	18.974	169	169	0	10.587		By MS/MS	By MS/MS		By MS/MS	By MS/MS		0	17.2	10.7	0	10.7	10.7	0	7098100	0	4502800	868480	0	1172700	554130	0	1014000	0	643260	124070	0	167520	79161	0	0	1539600	0	0	301840	0	0	0	4	2	0	2	1	0	9			+	16	11566;12420	True;True	12316;13225	42757;46051;46052;46053;46054;46055;46056;46057;46058	37600;40559;40560;40561;40562;40563;40564;40565;40566	37600;40561		
CON__P02676	CON__P02676	1	1	1		1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	2	56.44	495	495	1	-2	By MS/MS							2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	+		+	17	9343	True	9921	34638	30370	30370	24	1
CON__P02754	CON__P02754	11	11	11		1	11	11	11	0	11	10	0	5	7	0	0	11	10	0	5	7	0	0	11	10	0	5	7	0	81.5	81.5	81.5	18.281	162	162	0	264.35		By MS/MS	By MS/MS		By MS/MS	By MS/MS		0	81.5	67.3	0	40.7	56.8	0	336160000	0	264860000	54320000	0	10498000	6483400	0	30560000	0	24079000	4938200	0	954330	589400	0	0	86248000	14545000	0	3380300	4135400	0	0	23	12	0	3	4	0	42			+	18	5610;8073;8744;13710;13711;14102;14831;14832;15417;15455;15885	True;True;True;True;True;True;True;True;True;True;True	5938;8536;8537;9250;14588;14589;15002;15003;15778;15779;16394;16437;16890	21246;21247;21248;21249;21250;30036;30037;30038;30039;30040;32411;32412;32413;32414;32415;32416;32417;32418;50870;50871;50872;50873;50874;50875;50876;50877;50878;50879;52435;52436;52437;52438;52439;52440;52441;52442;52443;52444;52445;52446;52447;55491;55492;55493;55494;55495;55496;57769;57770;57771;57772;57773;57950;57951;59566	18681;18682;26382;26383;26384;28438;28439;28440;28441;28442;44764;44765;44766;44767;44768;44769;44770;44771;44772;44773;46186;46187;46188;46189;46190;46191;46192;46193;46194;46195;46196;48853;48854;48855;50809;50810;50811;50812;50813;50814;50960;52395	18681;26384;28440;44765;44768;46188;48853;48854;50809;50960;52395	25;26;27	7;24;107
CON__P02768-1	CON__P02768-1	29	29	24		1	29	29	24	3	20	26	7	22	21	13	3	20	26	7	22	21	13	2	16	22	5	18	17	9	57.1	57.1	50.9	69.366	609	609	0	76.226	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.6	37.1	52.5	10.2	43.3	41.4	21	171300000	1141200	37042000	71051000	862580	33789000	22462000	4956200	4758400	31701	1028900	1973600	23961	938590	623930	137670	199210	11864000	13810000	3424400	9026800	9998800	8330500	2	16	22	5	24	17	14	100			+	19	45;212;739;1230;1341;2143;3246;3784;3971;5420;7267;7510;8089;8986;9103;9104;9127;9413;11155;11322;11325;11372;11915;12192;13154;14340;14969;15793;15933	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	45;222;784;1309;1310;1424;2275;3443;4004;4197;5738;7682;7941;8554;9502;9622;9623;9646;10017;11887;12062;12065;12112;12684;12977;13997;15264;15923;16797;16938	173;174;175;903;904;905;906;907;908;2983;2984;2985;2986;2987;5022;5023;5024;5025;5026;5027;5028;5409;5410;5411;5412;5413;8196;8197;8198;8199;12435;12436;12437;12438;12439;14335;14336;14337;14338;14339;14340;15022;15023;15024;15025;15026;15027;15028;20571;20572;20573;20574;26914;26915;26916;26917;26918;26919;26920;27805;30091;30092;30093;30094;33305;33306;33307;33308;33309;33310;33687;33688;33777;33778;33779;33780;34899;34900;34901;34902;41547;41548;41549;41550;41551;41552;42025;42026;42027;42028;42033;42118;42119;42120;42121;42122;44119;45141;48771;48772;48773;48774;48775;53705;53706;53707;53708;53709;56026;56027;56028;56029;56030;56031;59235;59236;59237;59238;59239;59240;59704	159;160;161;767;768;2613;2614;2615;2616;2617;2618;2619;2620;2621;4438;4439;4440;4441;4442;4808;4809;4810;4811;4812;7300;7301;7302;11035;11036;11037;12650;12651;12652;12653;12654;12655;13276;13277;13278;13279;13280;18078;18079;18080;18081;18082;23595;23596;23597;23598;23599;23600;23601;24372;26419;26420;26421;26422;29192;29193;29194;29195;29196;29197;29511;29512;29592;30598;30599;30600;36544;36545;36946;36947;36948;36949;36952;37022;37023;37024;37025;37026;37027;38836;39750;42950;42951;42952;42953;42954;47303;47304;47305;47306;49332;49333;49334;49335;52093;52094;52095;52096;52097;52495	161;767;2619;4439;4809;7301;11036;12654;13279;18078;23600;24372;26419;29192;29511;29512;29592;30598;36544;36948;36952;37026;38836;39750;42951;47306;49332;52093;52495	28;29;30;31	111;322;353;572
CON__P02769	CON__P02769	28	23	23		1	28	23	23	1	25	22	4	21	21	7	0	21	18	2	17	17	3	0	21	18	2	17	17	3	49.1	42.8	42.8	69.293	607	607	0	58.005	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	2.5	47.9	39.4	5.8	36.9	38.7	10	120250000	0	44118000	29777000	170350	26118000	19508000	561930	3006300	0	1102900	744430	4258.9	652960	487710	14048	0	16333000	9519700	0	5032400	7526800	1002300	0	18	17	0	14	14	1	64			+	20	214;1064;1341;1436;2369;2370;3245;3783;5391;5421;7267;8088;9076;9127;9136;9414;11154;11323;11326;11373;11914;12191;13155;14006;14969;15792;15933;15955	True;True;False;True;True;True;True;True;True;True;False;True;True;False;True;True;True;True;True;True;True;True;True;True;False;True;False;True	224;1136;1424;1523;2513;2514;3442;4003;5709;5739;7682;8553;9594;9646;9655;10018;11886;12063;12066;12113;12683;12976;13998;14901;15923;16796;16938;16964	911;912;913;914;915;916;4336;4337;4338;4339;5409;5410;5411;5412;5413;5725;5726;9045;9046;9047;9048;12433;12434;14333;14334;20478;20479;20480;20481;20482;20483;20575;20576;20577;20578;20579;26914;26915;26916;26917;26918;26919;26920;30088;30089;30090;33617;33618;33619;33620;33777;33778;33779;33780;33814;33815;33816;33817;33818;34903;34904;34905;34906;34907;34908;34909;34910;41544;41545;41546;42029;42030;42031;42034;42035;42036;42123;42124;44116;44117;44118;45136;45137;45138;45139;45140;48776;48777;48778;48779;48780;48781;48782;51995;51996;51997;51998;56026;56027;56028;56029;56030;56031;59231;59232;59233;59234;59704;59771;59772;59773;59774	770;771;772;3812;3813;3814;3815;4808;4809;4810;4811;4812;5105;8065;8066;8067;11033;11034;12649;17996;17997;17998;17999;18000;18001;18083;18084;18085;18086;18087;18088;23595;23596;23597;23598;23599;23600;23601;26417;26418;29453;29454;29455;29456;29592;29618;29619;30601;30602;30603;30604;30605;36541;36542;36543;36950;36953;37028;38835;39745;39746;39747;39748;39749;42955;42956;42957;42958;42959;45762;45763;49332;49333;49334;49335;52090;52091;52092;52495;52553;52554;52555;52556	770;3814;4809;5105;8066;8067;11033;12649;18000;18086;23600;26417;29454;29592;29618;30602;36542;36950;36953;37028;38835;39748;42957;45763;49332;52092;52495;52556	32;33;34	111;469;571
CON__P04259	CON__P04259	39	20	1		1	39	20	1	23	32	37	22	33	34	25	10	15	19	11	15	17	14	1	1	1	1	1	1	1	58	37.6	3	59.998	564	564	0	171.16	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	38.7	47.2	55.5	33.9	49.8	52.3	40.2	420980000	5618800	98785000	139300000	3165600	81407000	86013000	6688000	14033000	187290	3292800	4643400	105520	2713600	2867100	222930	1161300	37446000	26584000	16001000	17841000	38746000	8989200	8	17	23	7	18	28	10	111			+	21	171;188;742;959;1040;1075;2127;3411;3483;3485;3819;4931;6538;7113;7386;7387;7632;8164;8702;9964;9980;9981;10005;10007;10139;10686;10722;10917;11020;11693;11848;13031;13032;14685;15516;15636;15637;15644;16105	True;True;True;False;True;True;False;True;False;False;False;True;True;False;False;False;True;False;True;True;False;False;False;False;True;True;True;False;False;True;True;True;True;False;False;False;False;True;True	180;197;787;788;789;1027;1110;1147;2256;2257;3616;3617;3695;3697;4041;5216;6914;7522;7810;7811;8073;8632;9207;10625;10641;10642;10668;10670;10815;11391;11428;11636;11744;12455;12615;13869;13870;15630;16500;16632;16633;16640;17119	726;727;728;729;730;731;732;819;820;821;822;823;2992;2993;2994;2995;2996;2997;2998;2999;3000;3001;3002;3888;3889;3890;3891;3892;3893;3894;3895;3896;4201;4202;4203;4204;4205;4206;4371;4372;4373;4374;4375;4376;4377;8123;8124;8125;8126;8127;8128;13024;13025;13026;13027;13028;13029;13030;13031;13032;13326;13327;13328;13329;13330;13331;13332;13333;13336;13337;13338;13339;14444;14445;14446;14447;14448;14449;14450;18556;18557;18558;18559;18560;18561;18562;24454;24455;24456;24457;24458;24459;24460;26486;26487;26488;26489;26490;26491;26492;26493;26494;26495;26496;27419;27420;27421;27422;27423;27424;27425;27426;27427;27428;27429;27430;27431;27432;27433;27434;27435;27436;27437;27438;28269;28270;28271;28272;30303;30304;30305;30306;32283;32284;36923;36924;36925;36926;36927;36928;36929;36930;36931;36998;36999;37000;37001;37002;37003;37004;37005;37006;37007;37008;37009;37010;37011;37089;37090;37091;37092;37093;37094;37095;37096;37097;37098;37099;37100;37101;37102;37103;37104;37105;37106;37107;37108;37109;37110;37111;37113;37114;37115;37509;39912;39913;39914;39915;39916;39917;40029;40030;40031;40032;40033;40034;40739;40740;40741;40742;40743;40744;40745;41090;41091;41092;41093;41094;41095;41096;41097;41098;43339;43340;43341;43342;43343;43872;43873;43874;43875;48289;48290;48291;48292;48293;48294;48295;48296;48297;48298;48299;48300;48301;48302;48303;48304;48305;48306;54975;58190;58191;58192;58193;58194;58195;58660;58661;58662;58663;58664;58665;58666;58667;58668;58669;58670;58671;58672;58673;58674;58675;58712;58713;58714;58715;58716;58717;58718;58719;60280;60281	613;614;615;616;696;697;698;699;2626;2627;2628;2629;2630;2631;2632;2633;2634;2635;2636;2637;2638;2639;2640;2641;2642;2643;3418;3419;3420;3421;3422;3423;3424;3697;3698;3699;3700;3848;3849;3850;3851;3852;3853;3854;7240;7241;7242;7243;7244;7245;11561;11562;11563;11564;11565;11566;11567;11819;11820;11821;11822;11823;11824;11825;11827;11828;11829;12743;12744;12745;12746;12747;12748;16298;16299;16300;16301;16302;16303;16304;21529;21530;21531;21532;21533;21534;21535;21536;23251;23252;23253;23254;23255;24028;24029;24030;24031;24032;24033;24034;24035;24036;24037;24038;24039;24040;24041;24042;24043;24044;24045;24046;24792;24793;24794;24795;26612;26613;26614;26615;28326;28327;32380;32381;32382;32383;32384;32385;32386;32387;32441;32442;32443;32444;32445;32446;32447;32522;32523;32524;32525;32526;32527;32528;32529;32530;32531;32532;32533;32534;32535;32536;32537;32540;32541;32542;32877;35113;35114;35115;35116;35230;35231;35232;35844;35845;35846;35847;35848;35849;36165;36166;36167;36168;36169;36170;36171;36172;36173;38134;38609;42519;42520;42521;42522;42523;42524;42525;42526;42527;42528;42529;42530;42531;42532;42533;42534;42535;42536;42537;42538;42539;48434;51179;51180;51584;51585;51586;51587;51588;51589;51590;51591;51592;51593;51594;51632;51633;51634;51635;51636;51637;51638;52989	614;696;2628;3423;3698;3854;7243;11566;11825;11827;12743;16299;21535;23252;24032;24046;24792;26612;28327;32384;32441;32447;32523;32541;32877;35116;35231;35849;36168;38134;38609;42525;42528;48434;51180;51587;51590;51635;52989	4;18;19;20	279;309;322;452
